рубрика,исполнитель,песня,имя,аккорды
русская поп-музыка,агутин,ай-ай-ай,леонид,
русская поп-музыка,агутин,на сиреневой луне,леонид,
русский рок,аквариум,город золотой,,
русский рок,аквариум,дубровский,,
русский рок,аквариум,небо цвета дождя,,
русский рок,аквариум,ну-ка мечи стаканы на стол,,
русский рок,аквариум ,рок-н-ролл мертв (а я ещё нет),,
русский рок,алиса,небо славян,,
русская поп-музыка,аллегрова,младший лейтенант,ирина,
русская поп-музыка,аллегрова ,шальная императрица ,,
русская поп-музыка,анциферова,ищу тебя (всегда быть рядом не могут люди),татьяна,
русский рок,ария,я свободен,,
русский рок,Ария ,Беспечный ангел ,,
русский рок,Баста,Сансара ,,
русская поп-музыка,белорусских,мокрые кросы,тима,
русская поп-музыка,белорусских,незабудка,тима,https://amdm.ru/akkordi/tima_belorusskih/166136/nezabudka/
советские песни,бернес,с чего начинается родина,марк,
советские песни,бернес,тёмная ночь,марк,
русская поп-музыка,билан,задыхаюсь (у меня у меня сердце пылает),дима,https://amdm.ru/akkordi/dima_bilan/92859/belive_me/
русская поп-музыка,билан,мечтатели,дима,
русская поп-музыка,билан,невозможное возможно,дима,
русская поп-музыка,билан,believe me ,дима,
русская поп-музыка,блестящие,а я всё летала,,
русская поп-музыка,блестящие,восточные сказки,,
русский рок,браво,верю я,,
русский рок,браво,жёлтые ботинки,,
русский рок,браво,старый отель,,
русская поп-музыка,бузова,под звуки поцелуев,ольга,
русская поп-музыка,бумбокс,вахтёрам (я помню белые обои),,
русская поп-музыка,бумбокс ,на 8-м этаже,,
советские песни,бюль-бюль оглы,позвони (ты мне вчера сказала),полад,
советские песни,Бюльбюль оглы,позвони скорей,Палад ,
русская поп-музыка,ваенга,снова стою одна,елена,
советские песни,великанова,ландыши (ты сегодня мне принёс),гелена,
советские песни,веселые ребята,люди встречаются,виа,
советские песни,веселые ребята ,всё что в жизни есть у меня,виа,
русская поп-музыка,витас,опера #2,,
советские песни,герман,город влюблённых,анна,
советские песни,герман,надежда (светит незнакомая звезда),анна,
советские песни,герман,эхо любви,анна,
русская поп-музыка,глюк'oza,"невеста (я буду вместо, вместо, вместо неё)",,
русская поп-музыка,гнатюк,птица счастья (завтрашнего дня),николай,
русская поп-музыка,градусы,режиссер (враг мой бойся меня),,
русский рок,гражданская оборона,всё идёт по плану,,
русский рок,ддт,летели облака,,
русский рок,ддт,просвистела,,
русский рок,ддт,что такое осень?,,
русский рок,ДДТ ,Последняя осень,,
русский рок,ДДТ ,Это всё (что останется после меня),,
русская поп-музыка,дискотека авария,небо,,
русский рок,ещё никак,волна,,
русский рок,ещё никак ,стоял значит ,,
русская поп-музыка,звери,районы кварталы,,
русский рок,звуки му,досуги-буги,,https://amdm.ru/akkordi/zvyki_my/93011/dosugi_bugi/
советские песни,земляне,трава у дома,,
русская поп-музыка,земфира,искала,,
русская поп-музыка,земфира,лондон (зверь одиночка),,
русская поп-музыка,земфира,не отпускай,,
русская поп-музыка,земфира,ромашки,,
русская поп-музыка,земфира,случано падали звёзды,,
русская поп-музыка,земфира,хочешь сладких апельсинов?,,
советские песни,"и рок-оперы ""юнона и авось""",аллилуйя любви,,
советские песни,"и рок-оперы ""юнона и авось""",я тебя никогда не забуду,,
русская поп-музыка,Иванушки international,Тополиный пух,,
русская поп-музыка,иванушки international,тучи,,
советские песни,"из к/ф ""17 мгновений весны""","грусть моя, ты покинь меня",иосиф кобзон,
советские песни,"из к/ф ""17 мгновений весны""",мгновения,иосиф кобзон,
советские песни,"из к/ф ""большое космическое приключение""",я тебе конечно верю ,,https://pro-gitaru.ru/ya-tebe-konechno-veryu/
советские песни,"из к/ф ""бриллиантовая рука""",остров невезения,андрей миронов,
советские песни,"из к/ф ""бриллиантовая рука""",Остров невезения,,
советские песни,"из к/ф ""бриллиантовая рука""",песня про зайцев (а нам всё равно),юрий никулин,
советские песни,"из к/ф ""вам и не снилось""",последняя поэма,,
советские песни,"из к/ф ""весна на заречной улице""","когда весна придёт, не знаю (весна на заречной улице)",,
советские песни,"из к/ф ""гостья из будущего""",прекрасное далёко,,
советские песни,"из к/ф ""девчата""",старый клён,,
советские песни,"из к/ф ""дом, в котором живу""",тишина за рогожской заставою,,
зарубежное,"из к/ф ""звуки музыки""",favourite things,,
советские песни,"из к/ф ""иван васильевич меняет профессию""",вдруг как в сказке скрипнула дверь,,
советские песни,"из к/ф ""иван васильевич меняет профессию""",звенит январская вьюга,нина бродская,
советские песни,"из к/ф ""ирония судьбы""",ария московского гостя (если у вас нету дома),,
советские песни,"из к/ф ""ирония судьбы""","мне нравится, что вы больны не мной",,
советские песни,"из к/ф ""ирония судьбы""",на тихорецкую состав отправится,,
советские песни,"из к/ф ""ирония судьбы""",я спросил у ясеня,,
советские песни,"из к/ф ""кавказская пленница""",песенка о медведях (где-то на белом свете),,
детские песни,"из к/ф ""красная шапочка""",песня звездочета,,
детские песни,"из к/ф ""красная шапочка""",песня красной шапочки (если долго-долго-долго),,
детские песни,"из к/ф ""маленький мук""",дорога добра (спроси у жизни строгой),,
советские песни,"из к/ф ""мэри поппинс, до свидания""",ветер перемен,,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",33 коровы,,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",лев и брадобрей,,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",леди совершенство,,
