рубрика,исполнитель,песня,имя,аккорды
детские песни,"из к/ф ""красная шапочка""",песня звездочета,,
детские песни,"из к/ф ""красная шапочка""",песня красной шапочки (если долго-долго-долго),,
детские песни,"из к/ф ""маленький мук""",дорога добра (спроси у жизни строгой),,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",33 коровы,,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",непогода,,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",лев и брадобрей,,
детские песни,"из к/ф ""мэри поппинс, до свиданья""",леди совершенство,,
детские песни,"из к/ф ""новогодние приключения маши и вити""",мы снегурочку найдём в царстве тридесятом,,
детские песни,"из к/ф ""приключения электроника""","ты человек ты же сильный, смелый",,
детские песни,"из к/ф ""приключения электроника""",до чего дошёл прогресс,,
детские песни,"из к/ф ""приключения электроника""",бьют часы на старой башне,,
детские песни,"из к/ф ""приключения электроника""",крылатые качели,,https://amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/15374/krilatie_kacheli_kf_priklycheniya_elektronika/
детские песни,"из м/ф ""бременские музыканты""",весь мир у нас в руках (мы к вам заехали на час),,
детские песни,"из м/ф ""бременские музыканты""","говорят, мы бяки-буки",,https://amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/113840/govoryat_mi_byaki_buki_mf_bremenskie_muzikanti/
детские песни,"из м/ф ""бременские музыканты""",ничего на свете лучше нету,,
детские песни,"из м/ф ""голубой щенок""",ария голубого щенка (неужели из-за масти),,
детские песни,"из м/ф ""голубой щенок""",песня рыбы-пилы ,,
детские песни,"из м/ф ""голубой щенок""","песня кота (я не знаю неудач, потому что я ловкач)",,
детские песни,"из м/ф ""голубой щенок""",песня кота и пирата (я и ты такие разные),,https://meddiator.ru/pesnya-kota-i-pirata.html
детские песни,"из м/ф ""крокодил гена""",голубой вагон (медленно минуты уплывают в даль),,
детские песни,"из м/ф ""крокодил гена""",песня чебурашки ,,
детские песни,"из м/ф ""крокодил гена""",песня крокодила гены (пусть бегут неуклюже),,https://3akkorda.net/pust-begut-neuklyuzhe/
детские песни,"из сказки ""алиса в стране чудес""",песня попугая (послушайте все огого эгэгэ),,
детские песни,"из сказки ""алиса в стране чудес""","песня алисы (я страшно скучаю, я просто без сил)",,
детские песни,"из сказки ""алиса в стране чудес""",марш антиподов,,
детские песни,миансарова,летка-енка (прыг-скок утром на лужок),тамара,
детские песни,сохадзе,оранжевая песенка,ирма,
детские песни,шаинский,если с другом вышел в путь,владимир,
детские песни,шаинский,чунга -чанга ,владимир,
детские песни,шаинский,учат в школе,владимир,
детские песни,шаинский ,вместе весело шагать ,владимир,
детские песни,,в лесу родилась ёлочка,,
детские песни,,пусть всегда будет (солнечный круг),,
зарубежное,"из к/ф ""звуки музыки""",favourite things,,
зарубежное,"из к/ф ""серенада солнечной долины""","i know why, and so do you",,
зарубежное,"из рок-оперы ""иисус христос суперзвезда""",king herod's song,,
зарубежное,"из рок-оперы ""иисус христос суперзвезда""","i don't know, how to love him",,https://mytabs.ru/akkordy/h/helen-reddy/i-dont-know-how-to-love-him-2_188019.html
зарубежное,рыбак,fairytale,александр,https://amdm.ru/akkordi/aleksandr_ribak/103035/fairytale/
зарубежное,beatles,yesterday,,
зарубежное,beatles,michele,,
зарубежное,beatles,yellow submarine,,
зарубежное,beatles,obladi-oblada,,
зарубежное,beatles,help,,https://amdm.ru/akkordi/beatles/4951/help/
зарубежное,beatles,girl,,
зарубежное,beatles,let it be,,
зарубежное,beatles,hey jude,,
зарубежное,charles,hit the road jack,ray,
зарубежное,elton john,yellow brick road,,
зарубежное,elton john,your song,,
зарубежное,elton john,can you feel the love tonight,,
зарубежное,fidgerald,dream a little dream of me,ella,
зарубежное,pink floyd,another brick in the wall (we don't need no education),,
зарубежное,velazquez torres,besame mucho,consuelo,
разное,,чёрный ворон,,
разное,,мурка,,
разное,,цыпленок жареный,,
разное,,коробейники,,
разное,,бублички,,
разное,,ой то не вечер,,
разное,,валенки ,,
разное,,Москва златоглавая (конфетки бараночки),,
разное,,ты ж мэнэ пидманула,,
разное,,виновата ли я,,
разное,,"каким ты был, таким остался",,
разное,,ой цветёт калина в поле у ручья,,
разное,,за окном черемуха колышется,,
разное,,я назову тебя зоренькой,,
разное,,миленький ты мой,,
разное,,катюша,,
разное,,мой костёр в тумане светит,,
разное,,сулико,,
разное,,маруся раз два три калина,,
разное,,спи иисусе спи,,
разное,,ах самара городок ,,
разное,,очи чёрные,,
разное,,крутится вертится шар голубой,,
разное,,вот кто-то с горочки спустился,,
русская поп-музыка,агутин,на сиреневой луне,леонид,
русская поп-музыка,агутин,ай-ай-ай,леонид,
русская поп-музыка,аллегрова,младший лейтенант,ирина,
русская поп-музыка,аллегрова ,шальная императрица ,,
русская поп-музыка,анциферова,ищу тебя (всегда быть рядом не могут люди),татьяна,
русская поп-музыка,белорусских,незабудка,тима,https://amdm.ru/akkordi/tima_belorusskih/166136/nezabudka/
русская поп-музыка,белорусских,мокрые кросы,тима,
русская поп-музыка,билан,мечтатели,дима,
русская поп-музыка,билан,задыхаюсь (у меня у меня сердце пылает),дима,https://amdm.ru/akkordi/dima_bilan/92859/belive_me/
русская поп-музыка,билан,believe me ,дима,
русская поп-музыка,билан,невозможное возможно,дима,
русская поп-музыка,блестящие,а я всё летала,,
русская поп-музыка,блестящие,восточные сказки,,
русская поп-музыка,бузова,под звуки поцелуев,ольга,
русская поп-музыка,бумбокс,вахтёрам (я помню белые обои),,
русская поп-музыка,бумбокс ,на 8-м этаже,,
русская поп-музыка,ваенга,снова стою одна,елена,
русская поп-музыка,витас,опера #2,,
русская поп-музыка,глюк'oza,"невеста (я буду вместо, вместо, вместо неё)",,
русская поп-музыка,гнатюк,птица счастья (завтрашнего дня),николай,
русская поп-музыка,градусы,режиссер (враг мой бойся меня),,
русская поп-музыка,дискотека авария,небо,,
русская поп-музыка,звери,районы кварталы,,
русская поп-музыка,земфира,хочешь сладких апельсинов?,,
русская поп-музыка,земфира,не отпускай,,
русская поп-музыка,земфира,искала,,
русская поп-музыка,земфира,лондон (зверь одиночка),,
русская поп-музыка,земфира,случано падали звёзды,,
русская поп-музыка,земфира,ромашки,,
русская поп-музыка,иванушки international,тучи,,
русская поп-музыка,Иванушки international,Тополиный пух,,
русская поп-музыка,киркоров,"снег (если хочешь идти, иди)",филипп,
русская поп-музыка,киркоров,просто подари,филипп,dm https://amdm.ru/akkordi/filipp_kirkorov/93814/prosto_podari/
русская поп-музыка,киркоров,цвет настроения синий,филипп,https://amdm.ru/akkordi/filipp_kirkorov/163782/cvet_nastroeniya_siniy/
русская поп-музыка,киркоров,жестокая любовь,филипп,https://amdm.ru/akkordi/filipp_kirkorov/23790/zhestokaya_lybov/
русская поп-музыка,колибри,жёлтый лист осенний,,
русская поп-музыка,корнелюк,"город, которого нет (там для меня горит очаг)",игорь,
русская поп-музыка,костюшкин,"женщина, я не танцую",стас,
русская поп-музыка,крид (feat. molly),если ты меня не любишь,егор,
русская поп-музыка,ласковый май,седая ночь,,
русская поп-музыка,лель,мой мармеладный (попробуй джага-джага),катя,
русская поп-музыка,леонидов,девочка-виденье (я обернулся посмотреть),максим,
русская поп-музыка,леонтьев,ярмарки-краски,валерий,
русская поп-музыка,леонтьев,дельтаплан,валерий,
русская поп-музыка,леприконсы,"хали-гали, паратруппер",,
русская поп-музыка,лепс,рюмка водки,григорий,
русская поп-музыка,лепс (feat. валерий меладзе),обернитесь,григорий,
русская поп-музыка,лоза,плот,юрий,
русская поп-музыка,любэ,берёзы (отчего так в россии),,
русская поп-музыка,любэ ,Конь (выйду ночью),,
русская поп-музыка,любэ ,Комбат,,
русская поп-музыка,макsим,трудный возраст,,
русская поп-музыка,макsим,вдоль ночных дорог,,https://amdm.ru/akkordi/maksim/101853/znaesh_li_ti/
русская поп-музыка,маркин,вижу тень наискосок,владимир,
русская поп-музыка,меладзе,"салют, вера!",валерий,
русская поп-музыка,меладзе,самбо белого мотылька,валерий,
русская поп-музыка,меладзе,красиво ты вошла в мою грешную жизнь,валерий,
русская поп-музыка,меладзе,девушки из высшего общества,валерий,
русская поп-музыка,михаил круг,владимирский централ,,
русская поп-музыка,мумий тролль,владивосток 2000,,
русская поп-музыка,мумий тролль,невеста,,
русская поп-музыка,мумий тролль,утекай,,
русская поп-музыка,налич,Guitar,пётр,
русская поп-музыка,насыров,мальчик хочет в тамбов,марат,
русская поп-музыка,пугачёва,не отрекаются любя,алла,
русская поп-музыка,пугачёва ,айсберг,алла,
русская поп-музыка,пугачёва ,миллион алых роз,алла,
русская поп-музыка,пугачёва ,арлекино,алла,
русская поп-музыка,пугачёва ,звездное лето,алла,
русская поп-музыка,пугачёва ,позови меня с собой,алла,
русская поп-музыка,пугачёва ,а знаешь все еще будет,алла,
русская поп-музыка,пугачёва ,любовь похожая на сон,алла,
русская поп-музыка,пугачёва ,этот мир придуман не нами,алла,
русская поп-музыка,пугачёва (feat. максим галкин),будь или не будь,алла,
русская поп-музыка,ржевская,"когда я стану кошкой (наверное, в следующей жизни)",мария,
русская поп-музыка,ротару,только этого мало,софия,
русская поп-музыка,стрыкало ,всё решено ,валентин,
русская поп-музыка,стрыкало ,наше лето (ялта август),валентин,
русская поп-музыка,трофимов,город сочи,сергей,
русская поп-музыка,фриске,а на море белый песок,жанна,
русская поп-музыка,фриске,где-то летом звёзды нам улыбались,жанна,
русская поп-музыка,шарлот,щека на щеку,,
русская поп-музыка,dead blonde ,мальчик на девятке,,
русская поп-музыка,t.aT.u,покажи мне любовь,,
русская поп-музыка,t.aT.u,all about us,,
русский рок,аквариум,дубровский,,
русский рок,аквариум,ну-ка мечи стаканы на стол,,
русский рок,аквариум,город золотой,,
русский рок,аквариум,небо цвета дождя,,
русский рок,аквариум ,рок-н-ролл мертв (а я ещё нет),,
русский рок,алиса,небо славян,,
русский рок,ария,я свободен,,
русский рок,Ария ,Беспечный ангел ,,
русский рок,Баста,Сансара ,,
русский рок,браво,жёлтые ботинки,,
русский рок,браво,верю я,,
русский рок,браво,старый отель,,
русский рок,гражданская оборона,всё идёт по плану,,
русский рок,ддт,летели облака,,
русский рок,ддт,что такое осень?,,
русский рок,ддт,просвистела,,
русский рок,ДДТ ,Последняя осень,,
русский рок,ДДТ ,Это всё (что останется после меня),,
русский рок,ещё никак,волна,,
русский рок,ещё никак ,стоял значит ,,
русский рок,звуки му,досуги-буги,,https://amdm.ru/akkordi/zvyki_my/93011/dosugi_bugi/
русский рок,кино,"видели ночь, гуляли всю ночь до утра",,
русский рок,кино,перемен,,
русский рок,кино,группа крови,,
русский рок,кино,звезда по имени солнце,,
русский рок,кино,бездельник,,
русский рок,кино,пачка сигарет,,
русский рок,кино,кукушка,,
русский рок,кино,восьмиклассница,,
русский рок,кино,алюминевые огурцы,,
русский рок,кино,мама-анархия,,
русский рок,Король и шут,Кукла колдуна,,
русский рок,Король и шут,Прыгну со скалы,,
русский рок,Ленинград ,www ,,
русский рок,летов,про дурачка,егор,
русский рок,науменко,"прощай, детка",майк,
русский рок,наутилус помпилиус,я хочу быть с тобой,,https://amdm.ru/akkordi/naytilys_pompiliys/3037/ya_hochu_bit_s_toboy/
русский рок,наутилус помпилиус,дыхание,,
русский рок,наутилус помпилиус,крылья,,
русский рок,наутилус помпилиус,скованные одной цепью,,
русский рок,наутилус помпилиус,"гудбай, америка",,
русский рок,наутилус помпилиус,хлоп-хлоп,,
русский рок,наутилус помпилиус,прогулки по воде (видишь там на горе),,
русский рок,ноль,школа жизни,,
русский рок,ноль,я.л.ю.б.л.ю.т.е.б.я,,
русский рок,ноль,"иду, курю",,
русский рок,ноль,улица ленина,,
русский рок,ноль,человек и кошка,,
русский рок,ноль,песня о настоящем индейце,,
русский рок,океан ельзи ,без бою,,
русский рок,секрет,последний час декабря,,
русский рок,секрет,"ах, алиса",,
русский рок,сплин,моё сердце,,
русский рок,чайф,"бутылка кефира, полбатона",,
русский рок,чиж,вечная молодость,,
русский рок,чиж,фантом,,
русский рок,чиж,мышка (колыбельная хиппи),,
русский рок,чиж,поход (два ангела вперёд),,
советские песни,бернес,с чего начинается родина,марк,
советские песни,бернес,тёмная ночь,марк,
советские песни,бюль-бюль оглы,позвони (ты мне вчера сказала),полад,
советские песни,Бюльбюль оглы,позвони скорей,Палад ,
советские песни,великанова,ландыши (ты сегодня мне принёс),гелена,
советские песни,веселые ребята,люди встречаются,виа,
советские песни,веселые ребята ,всё что в жизни есть у меня,виа,
советские песни,герман,надежда (светит незнакомая звезда),анна,
советские песни,герман,эхо любви,анна,
советские песни,герман,город влюблённых,анна,
советские песни,земляне,трава у дома,,
советские песни,"и рок-оперы ""юнона и авось""",аллилуйя любви,,
советские песни,"и рок-оперы ""юнона и авось""",я тебя никогда не забуду,,
советские песни,"из к/ф ""17 мгновений весны""",мгновения,иосиф кобзон,
советские песни,"из к/ф ""17 мгновений весны""","грусть моя, ты покинь меня",иосиф кобзон,
советские песни,"из к/ф ""большое космическое приключение""",я тебе конечно верю ,,https://pro-gitaru.ru/ya-tebe-konechno-veryu/
советские песни,"из к/ф ""бриллиантовая рука""",песня про зайцев (а нам всё равно),юрий никулин,
советские песни,"из к/ф ""бриллиантовая рука""",остров невезения,андрей миронов,
советские песни,"из к/ф ""бриллиантовая рука""",Остров невезения,,
советские песни,"из к/ф ""вам и не снилось""",последняя поэма,,
советские песни,"из к/ф ""весна на заречной улице""","когда весна придёт, не знаю (весна на заречной улице)",,
советские песни,"из к/ф ""гостья из будущего""",прекрасное далёко,,
советские песни,"из к/ф ""девчата""",старый клён,,
советские песни,"из к/ф ""дом, в котором живу""",тишина за рогожской заставою,,
советские песни,"из к/ф ""иван васильевич меняет профессию""",звенит январская вьюга,нина бродская,
советские песни,"из к/ф ""иван васильевич меняет профессию""",вдруг как в сказке скрипнула дверь,,
советские песни,"из к/ф ""ирония судьбы""","мне нравится, что вы больны не мной",,
советские песни,"из к/ф ""ирония судьбы""",я спросил у ясеня,,
советские песни,"из к/ф ""ирония судьбы""",на тихорецкую состав отправится,,
советские песни,"из к/ф ""ирония судьбы""",ария московского гостя (если у вас нету дома),,
советские песни,"из к/ф ""кавказская пленница""",песенка о медведях (где-то на белом свете),,
советские песни,"из к/ф ""мэри поппинс, до свидания""",ветер перемен,,
советские песни,"из к/ф ""неуловимые мстители""",погоня (в горячей крови),,
советские песни,"из к/ф ""неуловимые мстители""",песня неуловимых мстителей (бьют свинцовые ливни...),,
советские песни,"из к/ф ""неуловимые мстители""",песня яшки-цыгана (спрячь за решётку),,https://amdm.ru/akkordi/vasiliy_vasilev/131575/pesnya_yashki_cigana/
советские песни,"из к/ф ""операция ы и другие приключения шурика""","постой, пароз",,
советские песни,"из к/ф ""пять вечеров""",губы окаянные,,
советские песни,"из к/ф ""русское поле"" ","ой, мамочка",аркадий северный,
советские песни,"из к/ф ""служебный роман""",моей душе покоя нет,,
советские песни,"из к/ф ""чародеи""",снежинка,,
советские песни,"из к/ф ""чародеи""",три белых коня,,
советские песни,"из м/ф ""бременские музыканты""",серенада трубадура (луч солнца золотого),муслим магомаев,
советские песни,"из м/ф ""крошка енот""",улыбка (от улыбки станет всем светлей),,
советские песни,"из м/ф ""трям здравствуйте""","облака, белогривые лошадки",,
